4E00101|Abbaye-sous-Plancy|1566 - 1739|Baptême, Mariage, Sépulture|152|https://www.archives-aube.fr/_recherche-images/download/304243/image/29316/0/full/max/0/default.jpg
4E00102|Abbaye-sous-Plancy|1740 - 1792|Baptême, Mariage, Sépulture|154|https://www.archives-aube.fr/_recherche-images/download/304244/image/29317/0/full/max/0/default.jpg
4E00105|Abbaye-sous-Plancy|1793 - 1860|Mariage|184|https://www.archives-aube.fr/_recherche-images/download/304247/image/29319/0/full/max/0/default.jpg
4E001 8|Abbaye-sous-Plancy|1861 - 1900|Mariage|96|https://www.archives-aube.fr/_recherche-images/download/309927/image/34992/0/full/max/0/default.jpg
4E001 12|Abbaye-sous-Plancy|1901 - 1911|Mariage|28|https://www.archives-aube.fr/_recherche-images/download/309931/image/34996/0/full/max/0/default.jpg
4E001 13|Abbaye-sous-Plancy|1912 - 1915|Mariage|5|https://www.archives-aube.fr/_recherche-images/download/309932/image/34997/0/full/max/0/default.jpg
4 E 1 13|Abbaye-sous-Plancy|1916 - 1919|Mariage|7|https://www.archives-aube.fr/_recherche-images/download/312573/image/37637/0/full/max/0/default.jpg
4E001 13|Abbaye-sous-Plancy|1920 - 1922|Mariage|6|https://www.archives-aube.fr/_recherche-images/download/1398356/image/103000/0/full/max/0/default.jpg
4 E 1/11|Abbaye-sous-Plancy|1923 - 1925|Naissance|6|https://www.archives-aube.fr/_recherche-images/download/1457622/image/117579/0/full/max/0/default.jpg
4E001 13|Abbaye-sous-Plancy|1923 - 1924|Mariage|7|https://www.archives-aube.fr/_recherche-images/download/1457623/image/117580/0/full/max/0/default.jpg
4E001 15|Abbaye-sous-Plancy|1925 - 1930|Décès|10|https://www.archives-aube.fr/_recherche-images/download/1590266/image/136799/0/full/max/0/default.jpg
4E001 13|Abbaye-sous-Plancy|1925 - 1930|Mariage|8|https://www.archives-aube.fr/_recherche-images/download/1591558/image/137445/0/full/max/0/default.jpg
4E00201|Ailleville|1621 - 1755|Baptême, Mariage, Sépulture|279|https://www.archives-aube.fr/_recherche-images/download/304250/image/29321/0/full/max/0/default.jpg
4E00202|Ailleville|1756 - 1792|Baptême, Mariage, Sépulture|258|https://www.archives-aube.fr/_recherche-images/download/304251/image/29322/0/full/max/0/default.jpg
4E00205|Ailleville|1793 - 1860|Mariage|213|https://www.archives-aube.fr/_recherche-images/download/304253/image/29324/0/full/max/0/default.jpg
4E00208|Ailleville|1861 - 1889|Mariage|97|https://www.archives-aube.fr/_recherche-images/download/304256/image/29327/0/full/max/0/default.jpg
4E002 11|Ailleville|1890 - 1915|Mariage|75|https://www.archives-aube.fr/_recherche-images/download/309936/image/35001/0/full/max/0/default.jpg
4 E 2 11|Ailleville|1916 - 1919|Mariage|6|https://www.archives-aube.fr/_recherche-images/download/312576/image/37640/0/full/max/0/default.jpg
4E002 11|Ailleville|1920 - 1922|Mariage|12|https://www.archives-aube.fr/_recherche-images/download/1397497/image/102167/0/full/max/0/default.jpg
4 E 2/10|Ailleville|1923 - 1925|Naissance|5|https://www.archives-aube.fr/_recherche-images/download/1457625/image/117582/0/full/max/0/default.jpg
4E002 11|Ailleville|1923 - 1924|Mariage|4|https://www.archives-aube.fr/_recherche-images/download/1457626/image/117583/0/full/max/0/default.jpg
4E002 12|Ailleville|1925 - 1930|Décès|18|https://www.archives-aube.fr/_recherche-images/download/1590267/image/136800/0/full/max/0/default.jpg
4E002 11|Ailleville|1925 - 1930|Mariage|16|https://www.archives-aube.fr/_recherche-images/download/1591559/image/137446/0/full/max/0/default.jpg
4E00301|Aix-en-Othe|1575 - 1679|Baptême, Mariage, Sépulture|604|https://www.archives-aube.fr/_recherche-images/download/304258/image/29329/0/full/max/0/default.jpg
4E00302|Aix-en-Othe|1680 - 1696|Baptême, Mariage, Sépulture|399|https://www.archives-aube.fr/_recherche-images/download/304259/image/29330/0/full/max/0/default.jpg
4E00303|Aix-en-Othe|1695 - 1726|Baptême, Mariage, Sépulture|432|https://www.archives-aube.fr/_recherche-images/download/304260/image/29331/0/full/max/0/default.jpg
4E00304|Aix-en-Othe|1727 - 1748|Baptême, Mariage, Sépulture|405|https://www.archives-aube.fr/_recherche-images/download/304261/image/29332/0/full/max/0/default.jpg
4E00305|Aix-en-Othe|1749 - 1769|Baptême, Mariage, Sépulture|443|https://www.archives-aube.fr/_recherche-images/download/304262/image/29333/0/full/max/0/default.jpg
4E00306|Aix-en-Othe|1770 - 1780|Baptême, Mariage, Sépulture|379|https://www.archives-aube.fr/_recherche-images/download/304263/image/29334/0/full/max/0/default.jpg
4E00307|Aix-en-Othe|1781 - 1792|Baptême, Mariage, Sépulture|301|https://www.archives-aube.fr/_recherche-images/download/304264/image/29335/0/full/max/0/default.jpg
4E00313|Aix-en-Othe|1793 - 1814|Mariage|206|https://www.archives-aube.fr/_recherche-images/download/304267/image/29338/0/full/max/0/default.jpg
4E00314|Aix-en-Othe|1815 - 1835|Mariage|247|https://www.archives-aube.fr/_recherche-images/download/304270/image/29341/0/full/max/0/default.jpg
4E00315|Aix-en-Othe|1836 - 1858|Mariage|408|https://www.archives-aube.fr/_recherche-images/download/304273/image/29344/0/full/max/0/default.jpg
4E00316|Aix-en-Othe|1859 - 1882|Mariage|546|https://www.archives-aube.fr/_recherche-images/download/304276/image/29347/0/full/max/0/default.jpg
4E00322|Aix-en-Othe|1883 - 1895|Mariage|272|https://www.archives-aube.fr/_recherche-images/download/304279/image/29350/0/full/max/0/default.jpg
4E003 27|Aix-en-Othe|1896 - 1909|Mariage|294|https://www.archives-aube.fr/_recherche-images/download/309940/image/35005/0/full/max/0/default.jpg
4E003 28|Aix-en-Othe|1910 - 1915|Mariage|112|https://www.archives-aube.fr/_recherche-images/download/309941/image/35006/0/full/max/0/default.jpg
4 E 3 28|Aix-en-Othe|1916 - 1919|Mariage|50|https://www.archives-aube.fr/_recherche-images/download/312579/image/37643/0/full/max/0/default.jpg
4E003 28|Aix-en-Othe|1920 - 1922|Mariage|55|https://www.archives-aube.fr/_recherche-images/download/1397500/image/102170/0/full/max/0/default.jpg
4E003 26|Aix-en-Othe|1920 - 1922|Naissance|38|https://www.archives-aube.fr/_recherche-images/download/1397501/image/102171/0/full/max/0/default.jpg
4 E 3/26|Aix-en-Othe|1923 - 1925|Naissance|42|https://www.archives-aube.fr/_recherche-images/download/1457628/image/117585/0/full/max/0/default.jpg
4E003 29|Aix-en-Othe|1923 - 1924|Mariage|40|https://www.archives-aube.fr/_recherche-images/download/1457629/image/117586/0/full/max/0/default.jpg
4E003 32|Aix-en-Othe|1925 - 1930|Décès|80|https://www.archives-aube.fr/_recherche-images/download/1590268/image/136801/0/full/max/0/default.jpg
4E003 29|Aix-en-Othe|1925 - 1930|Mariage|69|https://www.archives-aube.fr/_recherche-images/download/1591560/image/137447/0/full/max/0/default.jpg
4E00401|Allibaudières|1570 - 1679|Baptême, Mariage, Sépulture|319|https://www.archives-aube.fr/_recherche-images/download/304281/image/29352/0/full/max/0/default.jpg
4E00402|Allibaudières|1680 - 1740|Baptême, Mariage, Sépulture|307|https://www.archives-aube.fr/_recherche-images/download/304282/image/29353/0/full/max/0/default.jpg
4E00403|Allibaudières|1741 - 1779|Baptême, Mariage, Sépulture|275|https://www.archives-aube.fr/_recherche-images/download/304283/image/29354/0/full/max/0/default.jpg
4E00404|Allibaudières|1780 - 1792|Baptême, Mariage, Sépulture|131|https://www.archives-aube.fr/_recherche-images/download/304284/image/29355/0/full/max/0/default.jpg
4E00408|Allibaudières|1793 - 1824|Mariage|163|https://www.archives-aube.fr/_recherche-images/download/304286/image/29357/0/full/max/0/default.jpg
4E00409|Allibaudières|1825 - 1860|Mariage|158|https://www.archives-aube.fr/_recherche-images/download/304289/image/29360/0/full/max/0/default.jpg
4E00413|Allibaudières|1861 - 1892|Mariage|152|https://www.archives-aube.fr/_recherche-images/download/304292/image/29363/0/full/max/0/default.jpg
4E004 17|Allibaudières|1893 - 1911|Mariage|72|https://www.archives-aube.fr/_recherche-images/download/309946/image/35011/0/full/max/0/default.jpg
4E004 18|Allibaudières|1912 - 1915|Mariage|9|https://www.archives-aube.fr/_recherche-images/download/309947/image/35012/0/full/max/0/default.jpg
4 E 4 18|Allibaudières|1916 - 1919|Mariage|9|https://www.archives-aube.fr/_recherche-images/download/312582/image/37646/0/full/max/0/default.jpg
4E004 18|Allibaudières|1920 - 1922|Mariage|8|https://www.archives-aube.fr/_recherche-images/download/1397503/image/102173/0/full/max/0/default.jpg
4 E 4/16|Allibaudières|1923 - 1925|Naissance|8|https://www.archives-aube.fr/_recherche-images/download/1457631/image/117588/0/full/max/0/default.jpg
4E004 18|Allibaudières|1923 - 1924|Mariage|8|https://www.archives-aube.fr/_recherche-images/download/1457632/image/117589/0/full/max/0/default.jpg
4E004 20|Allibaudières|1925 - 1930|Décès|15|https://www.archives-aube.fr/_recherche-images/download/1590269/image/136802/0/full/max/0/default.jpg
4E004 18|Allibaudières|1925 - 1930|Mariage|9|https://www.archives-aube.fr/_recherche-images/download/1591561/image/137448/0/full/max/0/default.jpg
4E00501|Amance|1573 - 1706|Baptême, Mariage, Sépulture|245|https://www.archives-aube.fr/_recherche-images/download/304294/image/29365/0/full/max/0/default.jpg
4E00502|Amance|1707 - 1750|Baptême, Mariage, Sépulture|199|https://www.archives-aube.fr/_recherche-images/download/304295/image/29366/0/full/max/0/default.jpg
4E00503|Amance|1751 - 1791|Baptême, Mariage, Sépulture|254|https://www.archives-aube.fr/_recherche-images/download/304296/image/29367/0/full/max/0/default.jpg
4E00509|Amance|1793 - 1834|Mariage|170|https://www.archives-aube.fr/_recherche-images/download/304298/image/29369/0/full/max/0/default.jpg
4E00510|Amance|1835 - 1860|Mariage|206|https://www.archives-aube.fr/_recherche-images/download/304301/image/29372/0/full/max/0/default.jpg
4E00518|Amance|1861 - 1889|Mariage|196|https://www.archives-aube.fr/_recherche-images/download/304305/image/29376/0/full/max/0/default.jpg
4E005 21|Amance|1890 - 1915|Mariage|124|https://www.archives-aube.fr/_recherche-images/download/309951/image/35016/0/full/max/0/default.jpg
4 E 5 21|Amance|1916 - 1919|Mariage|10|https://www.archives-aube.fr/_recherche-images/download/312585/image/37649/0/full/max/0/default.jpg
