communs,record_count
Abbaye-sous-Plancy,12
Ailleville,11
Aix-en-Othe,21
Allibaudières,15
Amance,13
Arcis-sur-Aube,24
Arconville,10
Argançon,11
Arrelles,17
Arrembécourt,12
Arrentières,15
Arsonval,12
Assenay,10
Assencières,12
Aubeterre,12
Aubigny,12
Aulnay,13
Auxon,31
Auzon-les-Marais,12
Avant (lès-Ramerupt),1
Avant-lès-Marcilly,16
Avant-lès-Ramerupt,12
Avirey-Lingey,17
Avon-la-Pèze,13
Avreuil,14
Bagneux-la-Fosse,14
Bailly-le-Franc,14
Balignicourt,12
Balnot-la-Grange,13
Balnot-sur-Laignes,17
Bar-sur-Aube,38
Bar-sur-Seine,31
Barberey-Saint-Sulpice,14
Barbuise,14
Baroville,12
Bayel,14
Beauvoir-sur-Sarce,12
Bercenay-en-Othe,14
Bercenay-le-Hayer,13
Bergères,10
Bernon,13
Bertignolles,11
Bérulle,14
Bessy,12
Bétignicourt,12
Beurey,14
Blaincourt-sur-Aube,11
Blignicourt,11
Bligny,13
Bordes-Aumont (Les),10
Bossancourt,12
Bouilly,17
Boulages,15
Bouranton,12
Bourdenay,12
Bourguignons,17
Bouy-Luxembourg,12
Bouy-sur-Orvin,10
Bouy-sur-Ovin,3
Bragelogne,14
Braux,13
Bréviandes,13
Brévonnes,15
Briel-sur-Barse,12
Brienne-la-Vieille,14
Brienne-le-Château,26
Brillecourt,12
Bucey-en-Othe,14
Buchères,13
Buxeuil,19
Buxières-sur-Arce,16
Celles-sur-Ource,23
Chacenay,11
Chaise (La),10
Chalette-sur-Voire,12
Chamoy,17
Champ-sur-Barse,9
Champfleury,13
Champignol-lez-Mondeville,15
Champigny-sur-Aube,10
Channes,14
Chaource,24
Chapelle-Saint-Luc (La),12
Chapelle-Vallon,15
Chappes,17
Charmont-sous-Barbuise,15
Charmoy,11
Charny-le-Bachot,12
Chaserey,12
Chassericourt,12
Châtres,10
Châtres et Mesgrigny,1
Châtres-mesgrigny,4
Chauchigny,16
Chaudrey,13
Chauffour-lès-Bailly,15
Chaumesnil,11
Chavanges,28
Chêne (Le),16
Chennegy,19
Chervey,13
Chesley,15
Chessy-les-Prés,23
Clérey,18
Coclois,11
Colombé-la-Fosse,19
