Aube|10|59|387_GG_11_87|Saint-Martin (TROYES)|1853 - 1863|Naissance_Mariage_Décès|20|https://www.archives-aube.fr/_recherche-images/download/397192/image/67090/0/full/max/0/default.jpg
Aube|11|17|387_GG_12_12|Saint-Nicolas (TROYES)|1780 - 1789|Baptême_Mariage_Sépulture|236|https://www.archives-aube.fr/_recherche-images/download/395137/image/65130/0/full/max/0/default.jpg
Aube|11|37|387_GG_13_06bis|Saint-Nizier (TROYES)|1645 - 1667|Sépulture_Baptême|39|https://www.archives-aube.fr/_recherche-images/download/395148/image/65141/0/full/max/0/default.jpg
Aube|1|17|387_GG_TA_39|Hôtel-dieu (TROYES)|1671 - 1680|Décès|148|https://www.archives-aube.fr/_recherche-images/download/396820/image/66718/0/full/max/0/default.jpg
Aube|1|39|387_GG_TA_42|Hôtel-dieu (TROYES)|1701 - 1710|Décès|160|https://www.archives-aube.fr/_recherche-images/download/396871/image/66769/0/full/max/0/default.jpg
Aube|1|59|387_GG_01_20|Hôtel-dieu (TROYES)|1745 - 1759|Baptême_Sépulture|283|https://www.archives-aube.fr/_recherche-images/download/275732/image/28811/0/full/max/0/default.jpg
Aube|1|60|387_GG_TA_16|Hôtel-dieu (TROYES)|1751 - 1760|Baptême|149|https://www.archives-aube.fr/_recherche-images/download/396398/image/66390/0/full/max/0/default.jpg
Aube|1|80|387_GG_02_02|Saint-Aventin (TROYES)|1604 - 1620|Baptême|125|https://www.archives-aube.fr/_recherche-images/download/275743/image/28822/0/full/max/0/default.jpg
Aube|1|85|387_GG_TA_04|Saint-Aventin (TROYES)|1631 - 1640|Baptême|184|https://www.archives-aube.fr/_recherche-images/download/396195/image/66187/0/full/max/0/default.jpg
Aube|1|87|387_GG_TA_06|Saint-Aventin (TROYES)|1651 - 1660|Baptême|175|https://www.archives-aube.fr/_recherche-images/download/396229/image/66221/0/full/max/0/default.jpg
Aube|1|89|387_GG_TA_23|Saint-Aventin (TROYES)|1661 - 1670|Mariage|50|https://www.archives-aube.fr/_recherche-images/download/396486/image/66478/0/full/max/0/default.jpg
Aube|1|90|387_GG_02_28bis|Saint-Aventin (TROYES)|1668 - 1714|Table alphabétique|42|https://www.archives-aube.fr/_recherche-images/download/397092/image/66990/0/full/max/0/default.jpg
Aube|1|94|387_GG_TA_39|Saint-Aventin (TROYES)|1671 - 1680|Décès|148|https://www.archives-aube.fr/_recherche-images/download/396821/image/66719/0/full/max/0/default.jpg
Aube|1|99|387_GG_02_11|Saint-Aventin (TROYES)|1677 - 1678|Baptême_Mariage_Sépulture|20|https://www.archives-aube.fr/_recherche-images/download/275755/image/28831/0/full/max/0/default.jpg
Aube|2|33|387_GG_TA_29|Saint-Aventin (TROYES)|1721 - 1730|Mariage|36|https://www.archives-aube.fr/_recherche-images/download/396682/image/66580/0/full/max/0/default.jpg
Aube|2|69|387_GG_TA_18|Saint-Aventin (TROYES)|1771 - 1780|Baptême|200|https://www.archives-aube.fr/_recherche-images/download/396433/image/66425/0/full/max/0/default.jpg
Aube|2|89|387_GG_TA_01|Saint-Denis (TROYES)|1601 - 1610|Baptême|180|https://www.archives-aube.fr/_recherche-images/download/396145/image/66137/0/full/max/0/default.jpg
Aube|2|93|387_GG_TA_04|Saint-Denis (TROYES)|1631 - 1640|Baptême|184|https://www.archives-aube.fr/_recherche-images/download/396196/image/66188/0/full/max/0/default.jpg
Aube|3|54|387_GG_TA_13|Saint-Denis (TROYES)|1721 - 1731|Baptême|135|https://www.archives-aube.fr/_recherche-images/download/396349/image/66341/0/full/max/0/default.jpg
Aube|3|76|387_GG_03_51|Saint-Denis (TROYES)|1768 - 1781|Baptême_Mariage_Sépulture|247|https://www.archives-aube.fr/_recherche-images/download/275864/image/28939/0/full/max/0/default.jpg
Aube|4|33|387_GG_TA_34|Saint-Etienne (TROYES)|1771 - 1780|Mariage|55|https://www.archives-aube.fr/_recherche-images/download/396769/image/66667/0/full/max/0/default.jpg
Aube|4|35|387_GG_TA_19|Saint-Etienne (TROYES)|1781 - 1792|Naissance|254|https://www.archives-aube.fr/_recherche-images/download/396452/image/66444/0/full/max/0/default.jpg
Aube|4|37|387_GG_TA_50|Saint-Etienne (TROYES)|1781 - 1792|Décès|195|https://www.archives-aube.fr/_recherche-images/download/397010/image/66908/0/full/max/0/default.jpg
Aube|4|42|387_GG_TA_03|Saint-Frobert (TROYES)|1611 - 1620|Baptême|176|https://www.archives-aube.fr/_recherche-images/download/396181/image/66173/0/full/max/0/default.jpg
Aube|4|43|387_GG_TA_04|Saint-Frobert (TROYES)|1631 - 1640|Baptême|184|https://www.archives-aube.fr/_recherche-images/download/396198/image/66190/0/full/max/0/default.jpg
Aube|4|45|387_GG_TA_06|Saint-Frobert (TROYES)|1651 - 1660|Baptême|175|https://www.archives-aube.fr/_recherche-images/download/396232/image/66224/0/full/max/0/default.jpg
Aube|4|54|387_GG_TA_39|Saint-Frobert (TROYES)|1671 - 1680|Décès|148|https://www.archives-aube.fr/_recherche-images/download/396824/image/66722/0/full/max/0/default.jpg
Aube|4|58|387_GG_TA_09|Saint-Frobert (TROYES)|1681 - 1690|Baptême|155|https://www.archives-aube.fr/_recherche-images/download/396283/image/66275/0/full/max/0/default.jpg
Aube|4|61|387_GG_TA_10|Saint-Frobert (TROYES)|1691 - 1700|Baptême|141|https://www.archives-aube.fr/_recherche-images/download/396300/image/66292/0/full/max/0/default.jpg
Aube|4|63|387_GG_TA_41|Saint-Frobert (TROYES)|1691 - 1700|Décès|154|https://www.archives-aube.fr/_recherche-images/download/396858/image/66756/0/full/max/0/default.jpg
Aube|5|36|387_GG_TA_18|Saint-Frobert (TROYES)|1771 - 1780|Baptême|200|https://www.archives-aube.fr/_recherche-images/download/396436/image/66428/0/full/max/0/default.jpg
Aube|5|39|387_GG_TA_49|Saint-Frobert (TROYES)|1771 - 1780|Décès|148|https://archives-aube.fr/_recherche-images/download/396994/image/66892/0/full/max/0/default.jpg
Aube|5|76|387_GG_TA_39|Saint-Gilles (TROYES)|1671 - 1680|Décès|148|https://www.archives-aube.fr/_recherche-images/download/396825/image/66723/0/full/max/0/default.jpg
Aube|6|6|387_GG_TA_17|Saint-Gilles (TROYES)|1761 - 1770|Baptême|141|https://www.archives-aube.fr/_recherche-images/download/396420/image/66412/0/full/max/0/default.jpg
Aube|6|16|387_GG_TA_50|Saint-Gilles (TROYES)|1781 - 1792|Décès|195|https://www.archives-aube.fr/_recherche-images/download/397012/image/66910/0/full/max/0/default.jpg
Aube|6|25|387_GG_09_05|Saint-Jacques-aux-Nonnains (TROYES)|1599 - 1606|Baptême|86|https://www.archives-aube.fr/_recherche-images/download/395056/image/65049/0/full/max/0/default.jpg
Aube|6|58|387_GG_09_15|Saint-Jacques-aux-Nonnains (TROYES)|1708 - 1724|Baptême_Mariage_Sépulture|299|https://archives-aube.fr/_recherche-images/download/395067/image/65060/0/full/max/0/default.jpg
Aube|6|70|387_GG_09_18|Saint-Jacques-aux-Nonnains (TROYES)|1739 - 1748|Baptême_Mariage_Sépulture|255|https://archives-aube.fr/_recherche-images/download/395070/image/65063/0/full/max/0/default.jpg
Aube|6|71|387_GG_TA_15|Saint-Jacques-aux-Nonnains (TROYES)|1741 - 1750|Baptême|139|https://www.archives-aube.fr/_recherche-images/download/396389/image/66381/0/full/max/0/default.jpg
Aube|6|78|387_GG_TA_32|Saint-Jacques-aux-Nonnains (TROYES)|1751 - 1760|Mariage|44|https://www.archives-aube.fr/_recherche-images/download/396740/image/66638/0/full/max/0/default.jpg
Aube|6|79|387_GG_TA_47|Saint-Jacques-aux-Nonnains (TROYES)|1751 - 1760|Décès|143|https://www.archives-aube.fr/_recherche-images/download/396964/image/66862/0/full/max/0/default.jpg
