communs,record_count
Achères,28
Ainay-le-Vieil,27
Aix-d'Angillon (Les),46
Allichamps,25
Allogny,30
Allouis,33
Annoix,28
Apremont-sur-Allier,31
Arçay,29
Arcomps,31
Ardenais,28
Argent-sur-Sauldre,46
Argenvières,29
Arpheuilles,30
Asnières-les-Bourges,7
Assigny,29
Aubigny-sur-Nère,34
Aubigny-Village,61
Aubigny-Ville,76
Aubinges,32
Augy-sur-l'Aubois,36
Avexy,61
Avord,28
Azy,34
Bannay,27
Bannegon,38
Barlieu,39
Barmont,73
Baugy,38
Beddes,26
Beffes,26
Belleville,27
Belleville-sur-Loire,17
Bengy-sur-Craon,38
Berry,30
Berry-Bouy,19
Berry-Marmagne,19
Berry-sous-Villequiers,39
Bessais-le-Fromental,37
Blancafort,50
Blet,44
Boucard,32
Boulleret,36
Bourges,668
Bouy,27
Bouzais,21
Brécy,28
Brinay,31
Brinon-sur-Sauldre,79
Bruère-Allichamps,13
Bué,32
Bussy,38
Canton des Aix-d'Angillon,1
Celette (La),27
Celle (La),7
Celle-Bruère (La),38
Celle-Condé (La),30
Cerbois,30
Chalivoy-Milon,36
Chambon,30
Changy,32
Chapelle-d'Angillon (La),30
Chapelle-Hugon (La),35
Chapelle-Montlinard (La),28
Chapelle-Saint-Ursin (La),29
Chapelotte (La),33
Charenton-du-Cher,50
Charentonnay,29
Charly,31
Chârost,44
Chassy,29
Châteaumeillant,70
Châteauneuf-sur-Cher,64
Châtelet (Le),52
Chaumont,21
Chaumoux-Marcilly,12
Chautay (Le),30
Chavannes,25
Chéry,32
Chezal-Benoît,34
Civray,45
Clémont,31
Cogny,40
Colombiers,28
Concressault,32
Condé,37
Contres,20
Cornusse,30
Corquoy,25
Couargues,30
Coulon,63
Cours-les-Barres,33
Coust,30
Couy,29
Crécy,74
Crézançay-sur-Cher,18
Crézancy-en-Sancerre,51
Croisy,28
Crosses,27
Cuffy,41
Culan,51
Cuzay-Sainte-Radegonde,58
Dame-Sainte,27
Dampierre-en-Crot,36
Dampierre-en-Graçay,28
