3 E 014/011|Aunay-sous-Crécy|1913 - 1922|NMD|135|https://archives28.fr/_recherche-images/download/119567/image/127149/0/full/max/0/default.jpg
E-DEPOT 363 GG1|Sainville|1589 - 1622|Baptêmes|38|https://archives28.fr/_recherche-images/download/119570/image/127152/0/full/max/0/default.jpg
E-DEPOT 042 GG1|Bleury|1617 - 1669|Baptêmes,Mariages,Sépultures|256|https://archives28.fr/_recherche-images/download/119571/image/127153/0/full/max/0/default.jpg
E-DEPOT 056 A GG1|Boutigny-sur-Opton|BM 1654 - 1673 ; S 1634-1673|Baptêmes, mariages, sépultures|177|https://archives28.fr/_recherche-images/download/119572/image/127154/0/full/max/0/default.jpg
E-DEPOT 056 A GG2|Boutigny-sur-Opton|1674-1686|Baptêmes, mariages, sépultures|125|https://archives28.fr/_recherche-images/download/119573/image/127155/0/full/max/0/default.jpg
E-DEPOT 056 A GG3|Boutigny-sur-Opton|1700-1724|Baptêmes, mariages, sépultures|84|https://archives28.fr/_recherche-images/download/119574/image/127156/0/full/max/0/default.jpg
E-DEPOT 056 A GG4|Boutigny-sur-Opton|1725-1736|Baptêmes, mariages, sépultures|96|https://archives28.fr/_recherche-images/download/119575/image/127159/0/full/max/0/default.jpg
E-DEPOT 056 B GG1|Boutigny-sur-Opton|1654-1673|Baptêmes, mariages, sépultures|21|https://archives28.fr/_recherche-images/download/119576/image/127160/0/full/max/0/default.jpg
E-DEPOT 363 GG2|Sainville|1599 - 1619|Baptêmes|73|https://archives28.fr/_recherche-images/download/119577/image/127161/0/full/max/0/default.jpg
E-DEPOT 363 GG3|Sainville|1620 - 1668|Baptêmes|103|https://archives28.fr/_recherche-images/download/119578/image/127162/0/full/max/0/default.jpg
E-DEPOT 363 GG4|Sainville|1640-1668|mariages, sépultures|50|https://archives28.fr/_recherche-images/download/119579/image/127164/0/full/max/0/default.jpg
E-DEPOT 363 GG5|Sainville|1668-1673|baptêmes, mariages, sépultures|40|https://archives28.fr/_recherche-images/download/119580/image/127165/0/full/max/0/default.jpg
E-DEPOT 363 GG6|Sainville|1673-1691|baptêmes, mariages, sépultures|115|https://archives28.fr/_recherche-images/download/119581/image/127166/0/full/max/0/default.jpg
E-DEPOT 363 GG7|Sainville|1691-1695|baptêmes, mariages, sépultures|89|https://archives28.fr/_recherche-images/download/119582/image/127167/0/full/max/0/default.jpg
E-DEPOT 363 GG8|Sainville|1693-1700|baptêmes, mariages, sépultures|93|https://archives28.fr/_recherche-images/download/119583/image/127168/0/full/max/0/default.jpg
E-DEPOT 363 GG9|Sainville|1701-1706|baptêmes, mariages, sépultures|110|https://archives28.fr/_recherche-images/download/119584/image/127169/0/full/max/0/default.jpg
E-DEPOT 363 GG10|Sainville|1707-1712|baptêmes, mariages, sépultures|106|https://archives28.fr/_recherche-images/download/119585/image/127170/0/full/max/0/default.jpg
E-DEPOT 363 GG11|Sainville|1713-1718|baptêmes, mariages, sépultures|76|https://archives28.fr/_recherche-images/download/119586/image/127171/0/full/max/0/default.jpg
E-DEPOT 363 GG12|Sainville|1719-1730|baptêmes, mariages, sépultures|96|https://archives28.fr/_recherche-images/download/119587/image/127172/0/full/max/0/default.jpg
E-DEPOT 387 E 1|Thiron-Gardais|1793 - 1798|Naissances,Mariages,Décès|234|https://archives28.fr/_recherche-images/download/119588/image/127173/0/full/max/0/default.jpg
3 E 244/006|Mervilliers|1881 - 1900|Naissances,Mariages,Décès|209|https://archives28.fr/_recherche-images/download/119590/image/127175/0/full/max/0/default.jpg
