226 O-SUPPL 1 E/7|Souville_Yèvre-le-Châtel_Yèvre-la-Ville|1813 - 1822|Tables décennales (1813-1822)|10|https://archives-loiret.fr/_recherche-images/download/522056/image/119643/0/full/max/0/default.jpg
196 O-SUPPL GG/16|Saint-Maurice-sur-Aveyron_Saint-Maurice-sur-Aveyron (Abbaye Fontainejean)|1723 - 1790|Baptêmes, mariages, sépultures : registres paroissiaux (1723) Baptêmes, mariages, sépultures : registres paroissiaux (1737-1748) Baptêmes, mariages, sépultures : registres paroissiaux (1750-1754) Baptêmes, mariages, sépultures : registres paroissiaux (1756-1765) Baptêmes, mariages, sépultures : registres paroissiaux (1767-1790)|74|https://archives-loiret.fr/_recherche-images/download/517521/image/115158/0/full/max/0/default.jpg
295 O-SUPPL GG/1|Faronville_Acquebouille_Outarville|1668 - 1726|Baptêmes, Mariages, Sépultures : registres paroissiaux (1668-1671) Baptêmes, Mariages, Sépultures : registres paroissiaux (1) (1692-1726)|68|https://archives-loiret.fr/_recherche-images/download/524560/image/122139/0/full/max/0/default.jpg
295 O-SUPPL GG/7|Faronville_Acquebouille_Outarville|1668 - 1813|Tables alphabétiques des Sépultures (1668-1792) Tables décennales des Décès (an II-1813) Tables alphabétiques des Baptêmes, Mariages, Sépultures (1668-1792) Tables décennales des Naissances, Mariages, Décès (1793-1813)|47|https://www.archives-loiret.fr/_recherche-images/download/524566/image/122145/0/full/max/0/default.jpg
295 O-SUPPL GG/2|Faronville_Acquebouille_Outarville|1726 - 1749|Baptêmes, Mariages, Sépultures : registres paroissiaux (1726-1749)|65|https://archives-loiret.fr/_recherche-images/download/524561/image/122140/0/full/max/0/default.jpg
295 O-SUPPL GG/3|Faronville_Acquebouille_Outarville|1750 - 1762|Baptêmes, Mariages, Sépultures : registres paroissiaux (1750-1762)|49|https://archives-loiret.fr/_recherche-images/download/524562/image/122141/0/full/max/0/default.jpg
295 O-SUPPL GG/4|Faronville_Acquebouille_Outarville|1763 - 1772|Baptêmes, Mariages, Sépultures : registres paroissiaux (1763-1772)|50|https://archives-loiret.fr/_recherche-images/download/524563/image/122142/0/full/max/0/default.jpg
295 O-SUPPL GG/5|Faronville_Acquebouille_Outarville|1773 - 1782|Baptêmes, Mariages, Sépultures : registres paroissiaux (1) (1773-1782)|44|https://archives-loiret.fr/_recherche-images/download/524564/image/122143/0/full/max/0/default.jpg
295 O-SUPPL GG/6|Faronville_Acquebouille_Outarville|1783 - 1792|Baptêmes, Mariages, Sépultures : registres paroissiaux (1) (1783-1792)|41|https://archives-loiret.fr/_recherche-images/download/524565/image/122144/0/full/max/0/default.jpg
295 O-SUPPL 1 E/3|Faronville_Acquebouille_Outarville|1793 - 1802|Décès : registre d'état civil (1793-an X)|31|https://archives-loiret.fr/_recherche-images/download/524573/image/122152/0/full/max/0/default.jpg
295 O-SUPPL 1 E/2|Faronville_Acquebouille_Outarville|1793 - 1798|Mariages : registre d'état civil (1793-an VI)|19|https://archives-loiret.fr/_recherche-images/download/524568/image/122147/0/full/max/0/default.jpg
295 O-SUPPL 1 E/1|Faronville_Acquebouille_Outarville|1793 - 1803|Naissances : registre d'état civil (1) (1793-an XI)|47|https://archives-loiret.fr/_recherche-images/download/524567/image/122146/0/full/max/0/default.jpg
491 O-SUPPL GG/1|Adon|1629 - 1674|Baptêmes : registre paroissial (1) (2) (1629-1632) Mariages : registre paroissial (1629-1632) Baptêmes : registre paroissial (1652-1657) Mariages : registre paroissial (1652-1655) Baptêmes : registre paroissial (3) (1652-1661) Sépultures : registre paroissial (1652-1661) Baptêmes, mariages, sépultures : registres paroissiaux (1662-1674)|264|https://archives-loiret.fr/_recherche-images/download/507265/image/104961/0/full/max/0/default.jpg
491 O-SUPPL GG/2|Adon|1674 - 1689|Baptêmes, mariages, sépultures : registres paroissiaux (1) (1674-1689)|104|https://archives-loiret.fr/_recherche-images/download/507269/image/104965/0/full/max/0/default.jpg
491 O-SUPPL GG/3|Adon|1690 - 1699|Baptêmes, mariages, sépultures : registres paroissiaux (1) (1690-1699)|70|https://archives-loiret.fr/_recherche-images/download/507270/image/104966/0/full/max/0/default.jpg
491 O-SUPPL GG/4|Adon|1700 - 1709|Baptêmes, mariages, sépultures : registres paroissiaux (1) (1700-1709)|65|https://archives-loiret.fr/_recherche-images/download/507271/image/104967/0/full/max/0/default.jpg
491 O-SUPPL GG/5|Adon|1710 - 1719|Baptêmes, mariages, sépultures : registres paroissiaux (1) (1710-1719)|59|https://archives-loiret.fr/_recherche-images/download/507272/image/104968/0/full/max/0/default.jpg
491 O-SUPPL GG/6|Adon|1720 - 1729|Baptêmes, mariages, sépultures : registres paroissiaux (1) (1720-1729)|69|https://archives-loiret.fr/_recherche-images/download/507273/image/104969/0/full/max/0/default.jpg
491 O-SUPPL GG/7|Adon|1730 - 1739|Baptêmes, mariages, sépultures : registres paroissiaux (1730-1739)|54|https://archives-loiret.fr/_recherche-images/download/507274/image/104970/0/full/max/0/default.jpg
491 O-SUPPL GG/8|Adon|1740 - 1749|Baptêmes, mariages, sépultures : registres paroissiaux (1740-1749)|60|https://archives-loiret.fr/_recherche-images/download/507275/image/104971/0/full/max/0/default.jpg
491 O-SUPPL GG/9|Adon|1750 - 1759|Baptêmes, mariages, sépultures : registres paroissiaux (1750-1759)|73|https://archives-loiret.fr/_recherche-images/download/507276/image/104972/0/full/max/0/default.jpg
491 O-SUPPL GG/10|Adon|1760 - 1769|Baptêmes, mariages, sépultures : registres paroissiaux (1760-1769)|67|https://archives-loiret.fr/_recherche-images/download/507266/image/104962/0/full/max/0/default.jpg
491 O-SUPPL GG/11|Adon|1770 - 1779|Baptêmes, mariages, sépultures : registres paroissiaux (1770-1779)|69|https://archives-loiret.fr/_recherche-images/download/507267/image/104963/0/full/max/0/default.jpg
491 O-SUPPL GG/12|Adon|1780 - 1792|Baptêmes, mariages, sépultures : registres paroissiaux (1780-1792)|93|https://archives-loiret.fr/_recherche-images/download/507268/image/104964/0/full/max/0/default.jpg
491 O-SUPPL 1 E/12|Adon|1792 - 1832|Naissances, mariages, décès : tables décennales|35|https://www.archives-loiret.fr/_recherche-images/download/507398/image/105094/0/full/max/0/default.jpg
491 O-SUPPL 1 E/3|Adon|1793 - 1803|Décès : registre d'état civil (1793-1803)|71|https://www.archives-loiret.fr/_recherche-images/download/507400/image/105096/0/full/max/0/default.jpg
491 O-SUPPL 1 E/2|Adon|1793 - 1803|Mariages : registre d'état civil (1793-1803)|81|https://www.archives-loiret.fr/_recherche-images/download/507399/image/105095/0/full/max/0/default.jpg
491 O-SUPPL 1 E/1|Adon|1793 - 1803|Naissances : registre d'état civil (1793-1803)|72|https://archives-loiret.fr/_recherche-images/download/507394/image/105090/0/full/max/0/default.jpg
491 O-SUPPL 1 E/6|Adon|1803 - 1812|Décès : registre d'état civil (1803-1812)|59|https://www.archives-loiret.fr/_recherche-images/download/507403/image/105099/0/full/max/0/default.jpg
491 O-SUPPL 1 E/5|Adon|1803 - 1812|Mariages : registre d'état civil (1803-1812)|55|https://www.archives-loiret.fr/_recherche-images/download/507402/image/105098/0/full/max/0/default.jpg
491 O-SUPPL 1 E/4|Adon|1803 - 1812|Naissances : registre d'état civil (1803-1812)|60|https://archives-loiret.fr/_recherche-images/download/507401/image/105097/0/full/max/0/default.jpg
491 O-SUPPL 1 E/9|Adon|1813 - 1822|Décès : registre d'état civil (1813-1822)|51|https://www.archives-loiret.fr/_recherche-images/download/507406/image/105102/0/full/max/0/default.jpg
491 O-SUPPL 1 E/8|Adon|1813 - 1822|Mariages : registre d'état civil (1813-1822)|43|https://www.archives-loiret.fr/_recherche-images/download/507405/image/105101/0/full/max/0/default.jpg
491 O-SUPPL 1 E/7|Adon|1813 - 1822|Naissances : registre d'état civil (1813-1822)|61|https://www.archives-loiret.fr/_recherche-images/download/507404/image/105100/0/full/max/0/default.jpg
491 O-SUPPL 1 E/10|Adon|1823 - 1832|Décès : registre d'état civil (1823-1832)|55|https://www.archives-loiret.fr/_recherche-images/download/507397/image/105093/0/full/max/0/default.jpg
491 O-SUPPL 1 E/10|Adon|1823 - 1832|Mariages : registre d'état civil (1823-1832)|54|https://www.archives-loiret.fr/_recherche-images/download/507396/image/105092/0/full/max/0/default.jpg
491 O-SUPPL 1 E/10|Adon|1823 - 1832|Naissances : registre d'état civil (1823-1832)|56|https://www.archives-loiret.fr/_recherche-images/download/507395/image/105091/0/full/max/0/default.jpg
EC 3451|Adon|1833 - 1842|Décès : registre d'état civil|50|https://www.archives-loiret.fr/_recherche-images/download/481509/image/93412/0/full/max/0/default.jpg
EC 3451|Adon|1833 - 1842|Mariages : registre d'état civil|72|https://www.archives-loiret.fr/_recherche-images/download/481508/image/93411/0/full/max/0/default.jpg
EC 3451|Adon|1833 - 1842|Naissances : registre d'état civil|61|https://www.archives-loiret.fr/_recherche-images/download/481506/image/93409/0/full/max/0/default.jpg
EC 3451|Adon|1833 - 1842|Naissances : registre d'état civil QUALITE THOT|61|https://archives-loiret.fr/_recherche-images/download/530328/image/127901/0/full/max/0/default.jpg
EC 3451|Adon|1833 - 1842|Naissances : registre d'état civil 2800 pixels, compression 8, 300 dpi|61|https://archives-loiret.fr/_recherche-images/download/530329/image/127902/0/full/max/0/default.jpg
EC 3451|Adon|1833 - 1842|Publications : registre d'état civil|70|https://www.archives-loiret.fr/_recherche-images/download/481507/image/93410/0/full/max/0/default.jpg
4 NUM 1/1|Adon|1833 - 1842|Tables décennales (1833-1842)|14|https://archives-loiret.fr/_recherche-images/download/530267/image/127840/0/full/max/0/default.jpg
EC 3452|Adon|1843 - 1852|Décès : registre d'état civil|38|https://www.archives-loiret.fr/_recherche-images/download/481513/image/93416/0/full/max/0/default.jpg
EC 3452|Adon|1843 - 1852|Mariages : registre d'état civil|46|https://archives-loiret.fr/_recherche-images/download/481512/image/93415/0/full/max/0/default.jpg
EC 3452|Adon|1843 - 1852|Naissances : registre d'état civil|63|https://archives-loiret.fr/_recherche-images/download/481510/image/93413/0/full/max/0/default.jpg
EC 3452|Adon|1843 - 1852|Publications : registre d'état civil|50|https://archives-loiret.fr/_recherche-images/download/481511/image/93414/0/full/max/0/default.jpg
EC 11228|Adon|1843 - 1852|Tables décennales (1843-1852)|8|https://archives-loiret.fr/_recherche-images/download/510014/image/107696/0/full/max/0/default.jpg
EC 3453|Adon|1853 - 1862|Décès : registre d'état civil|46|https://www.archives-loiret.fr/_recherche-images/download/481517/image/93420/0/full/max/0/default.jpg
EC 3453|Adon|1853 - 1862|Mariages : registre d'état civil|55|https://www.archives-loiret.fr/_recherche-images/download/481516/image/93419/0/full/max/0/default.jpg
EC 3453|Adon|1853 - 1862|Naissances : registre d'état civil|58|https://www.archives-loiret.fr/_recherche-images/download/481514/image/93417/0/full/max/0/default.jpg
EC 3453|Adon|1853 - 1862|Publications : registre d'état civil|61|https://www.archives-loiret.fr/_recherche-images/download/481515/image/93418/0/full/max/0/default.jpg
EC 11228 BIS|Adon|1853 - 1862|Tables décennales (1853-1862)|10|https://www.archives-loiret.fr/_recherche-images/download/510037/image/107718/0/full/max/0/default.jpg
EC 80973|Adon|1863 - 1886|Décès : registre d'état civil|106|https://www.archives-loiret.fr/_recherche-images/download/481521/image/93424/0/full/max/0/default.jpg
EC 80972|Adon|1863 - 1886|Mariages : registre d'état civil|126|https://www.archives-loiret.fr/_recherche-images/download/481520/image/93423/0/full/max/0/default.jpg
EC 80972|Adon|1863 - 1886|Naissances : registre d'état civil|142|https://www.archives-loiret.fr/_recherche-images/download/481518/image/93421/0/full/max/0/default.jpg
EC 80973|Adon|1863 - 1886|Publications : registre d'état civil|135|https://www.archives-loiret.fr/_recherche-images/download/481519/image/93422/0/full/max/0/default.jpg
EC 52609|Adon|1863 - 1872|Tables décennales (1863-1872)|13|https://www.archives-loiret.fr/_recherche-images/download/524989/image/122568/0/full/max/0/default.jpg
EC 79365|Adon|1873 - 1882|Tables décennales (1873-1882)|9|https://www.archives-loiret.fr/_recherche-images/download/525038/image/122617/0/full/max/0/default.jpg
EC 81069|Adon|1883 - 1892|Tables décennales (1883-1892)|8|https://www.archives-loiret.fr/_recherche-images/download/525087/image/122666/0/full/max/0/default.jpg
EC 118391|Adon|1887 - 1896|Décès : registre d'état civil|46|https://www.archives-loiret.fr/_recherche-images/download/481525/image/93428/0/full/max/0/default.jpg
EC 118391|Adon|1887 - 1896|Mariages : registre d'état civil|71|https://www.archives-loiret.fr/_recherche-images/download/481524/image/93427/0/full/max/0/default.jpg
EC 118391|Adon|1887 - 1896|Naissances : registre d'état civil|77|https://www.archives-loiret.fr/_recherche-images/download/481522/image/93425/0/full/max/0/default.jpg
EC 118391|Adon|1887 - 1896|Publications : registre d'état civil|71|https://www.archives-loiret.fr/_recherche-images/download/481523/image/93426/0/full/max/0/default.jpg
7 E 503/1|Adon|1893 - 1902|Tables décennales (1893-1902)|7|https://www.archives-loiret.fr/_recherche-images/download/528168/image/125746/0/full/max/0/default.jpg
7 E 1/1|Adon|1897 - 1906|Décès : registre d'état civil|36|https://www.archives-loiret.fr/_recherche-images/download/503472/image/101179/0/full/max/0/default.jpg
7 E 1/1|Adon|1897 - 1906|Mariages : registre d'état civil|56|https://www.archives-loiret.fr/_recherche-images/download/503473/image/101180/0/full/max/0/default.jpg
7 E 1/1|Adon|1897 - 1906|Naissances : registre d'état civil|50|https://www.archives-loiret.fr/_recherche-images/download/503474/image/101181/0/full/max/0/default.jpg
7 E 1/1|Adon|1897 - 1906|Publications : registre d'état civil|58|https://www.archives-loiret.fr/_recherche-images/download/503475/image/101182/0/full/max/0/default.jpg
EC 3454|Aillant-sur-Milleron|1833 - 1842|Décès : registre d'état civil|54|https://archives-loiret.fr/_recherche-images/download/481529/image/93432/0/full/max/0/default.jpg
EC 3454|Aillant-sur-Milleron|1833 - 1842|Mariages : registre d'état civil|70|https://consultation.archives-loiret.fr/_recherche-images/download/481528/image/93431/0/full/max/0/default.jpg
EC 3454|Aillant-sur-Milleron|1833 - 1842|Naissances : registre d'état civil|60|https://www.archives-loiret.fr/_recherche-images/download/481526/image/93429/0/full/max/0/default.jpg
EC 3454|Aillant-sur-Milleron|1833 - 1842|Publications : registre d'état civil|56|https://www.archives-loiret.fr/_recherche-images/download/481527/image/93430/0/full/max/0/default.jpg
EC 3454|Aillant-sur-Milleron|1833 - 1842|Tables décennales (1833-1842)|15|https://www.archives-loiret.fr/_recherche-images/download/511973/image/109640/0/full/max/0/default.jpg
EC 3455|Aillant-sur-Milleron|1843 - 1852|Décès : registre d'état civil|53|https://www.archives-loiret.fr/_recherche-images/download/481533/image/93436/0/full/max/0/default.jpg
EC 3455|Aillant-sur-Milleron|1843 - 1852|Mariages : registre d'état civil|65|https://www.archives-loiret.fr/_recherche-images/download/481532/image/93435/0/full/max/0/default.jpg
EC 3455|Aillant-sur-Milleron|1843 - 1852|Naissances : registre d'état civil|78|https://archives-loiret.fr/_recherche-images/download/481530/image/93433/0/full/max/0/default.jpg
EC 3455|Aillant-sur-Milleron|1843 - 1852|Publications : registre d'état civil|58|https://www.archives-loiret.fr/_recherche-images/download/481531/image/93434/0/full/max/0/default.jpg
EC 3455|Aillant-sur-Milleron|1843 - 1852|Tables décennales (1843-1852)|12|https://www.archives-loiret.fr/_recherche-images/download/511974/image/109641/0/full/max/0/default.jpg
EC 3456|Aillant-sur-Milleron|1853 - 1862|Décès : registre d'état civil|51|https://www.archives-loiret.fr/_recherche-images/download/481537/image/93440/0/full/max/0/default.jpg
EC 3456|Aillant-sur-Milleron|1853 - 1862|Mariages : registre d'état civil|70|https://www.archives-loiret.fr/_recherche-images/download/481536/image/93439/0/full/max/0/default.jpg
EC 3456|Aillant-sur-Milleron|1853 - 1862|Naissances : registre d'état civil|63|https://www.archives-loiret.fr/_recherche-images/download/481534/image/93437/0/full/max/0/default.jpg
EC 3456|Aillant-sur-Milleron|1853 - 1862|Publications : registre d'état civil|54|https://www.archives-loiret.fr/_recherche-images/download/481535/image/93438/0/full/max/0/default.jpg
EC 3456|Aillant-sur-Milleron|1853 - 1862|Tables décennales (1853-1862)|9|https://www.archives-loiret.fr/_recherche-images/download/511975/image/109642/0/full/max/0/default.jpg
EC 52496|Aillant-sur-Milleron|1863 - 1872|Décès : registre d'état civil|63|https://archives-loiret.fr/_recherche-images/download/481541/image/93444/0/full/max/0/default.jpg
